,reserveUSD,date,id,token0.id,token0.name,token0.symbol,token0.decimals,token1.id,token1.name,token1.symbol,token1.decimals,Exchange
0,5374012.460935367760061593554916707,1676160000,0xe3d3551bb608e7665472180a20280630d9e938aa-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xce3f08e664693ca792cace4af1364d5e220827b2,SAITAMA,SAITAMA,9,UNI
2,11144751.76529438679467354577012292,1676160000,0xd3d2e2692501a5c9ca623199d38826e513033a17-19400,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
3,13056497.93132897471035394113402035,1676160000,0xccb63225a7b19dcf66717e4d40c9a72b39331d61-19400,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,Merit Circle,MC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
4,8411493.056708026151413200894003566,1676160000,0xbb2b8038a1640196fbe3e38816f3e67cba72d940-19400,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
5,87399823.78372916584565921715996974,1676160000,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc-19400,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD//C,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
8,14480746.69967549125346236067722247,1676160000,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11-19400,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
9,6675789.207464136283550744364760967,1676160000,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c-19400,0x45804880de22913dafe09f4980848ece6ecbaf78,Paxos Gold,PAXG,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
13,13474269.09005509663342835717075259,1676160000,0x7b73644935b8e68019ac6356c40661e1bc315860-19400,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,Dogelon,ELON,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
15,6136266.362886461852858440573012961,1676160000,0x6033368e4a402605294c91cf5c03d72bd96e7d8d-19400,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,X2Y2Token,X2Y2,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
16,8758082.088306221051302580652108497,1676160000,0x48d20b3e529fb3dd7d91293f80638df582ab2daa-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xf3b9569f82b18aef890de263b84189bd33ebe452,A Hunters Dream,CAW,18,UNI
18,5269654.299037182245593001641660849,1676160000,0x2d0ba902badaa82592f0e1c04c71d66cea21d921-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xc669928185dbce49d2230cc9b0979be6dc797957,BitTorrent,BTT,18,UNI
19,5664616.997972878448728955205344599,1676160000,0x25647e01bd0967c1b9599fa3521939871d1d0888-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,SuperFarm,SUPER,18,UNI
20,105703920.3192287729967963279612168,1676160000,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e-19400,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,Wise Token,WISE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
23,6445070.217278548401632873466984487,1676160000,0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd-19400,0x7a2bc711e19ba6aff6ce8246c546e8c4b4944dfd,WAX Economic Token,WAXE,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,UNI
24,34402653.87195400579122432737192375,1676160000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,UNI
0,7019414.526818627853973396004270857,1676160000,0xdb06a76733528761eda47d356647297bc35a98bd-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG’d Governance Token,JPEG,18,SUSHI
1,6698022.815005002308715437846642786,1676160000,0xd4e7a6e2d03e4e48dfc27dd3f46df1c176647e38-19400,0x2e9d63788249371f1dfc918a52f8d799f4a38c94,Tokemak,TOKE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
2,18045430.47273873915038942193069651,1676160000,0xceff51756c56ceffca006cd410b03ffc46dd3a58-19400,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
3,7013618.619443419822296901253702869,1676160000,0xc3f279090a47e80990fe3a9c30d24cb117ef91a8-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,Alchemix,ALCX,18,SUSHI
4,7359251.50613507560577195357481003,1676160000,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f-19400,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
5,6504206.04803643581853342174855015,1676160000,0x82917fb0dd65b0e5c85eea66e4f5c1ed484bc629-19400,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,Multichain,MULTI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
6,12462478.54611407735472829702174494,1676160000,0x795065dcc9f64b5614c407a6efdc400da6221fb0-19400,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SushiToken,SUSHI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
7,63543593.59964400265318157602148918,1676160000,0x6a091a3406e0073c3cd6340122143009adac0eda-19400,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,Illuvium,ILV,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
9,11040946.84275389837895966675679228,1676160000,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31-19400,0x0f2d719407fdbeff09d87557abb7232601fd9f29,Synapse,SYN,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
10,49371279.80473603270460520606256147,1676160000,0x397ff1542f962076d0bfe58ea045ffa2d347aca0-19400,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
11,9064060.508222308376047641576098695,1676160000,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c-19400,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,yearn.finance,YFI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
12,19140812.77724052662390156614335865,1676160000,0x06da0fd433c1a5d7a4faa01111c044910a184553-19400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,SUSHI
13,7951225.866587844530699768963909949,1676160000,0x0463a06fbc8bf28b3f120cd1bfc59483f099d332-19400,0x269616d549d7e8eaa82dfb17028d0b212d11232a,CryptoPunks,PUNK,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,SUSHI
